draw date,n1,n2,n3,n4,n5,pb
07/21/2015,20,30,62,65,74,1
07/17/2015,6,17,30,31,41,15
07/14/2015,19,24,30,35,72,5
07/10/2015,24,27,45,51,54,8
07/07/2015,6,15,16,28,49,14
07/03/2015,33,50,64,71,72,9
06/30/2015,11,17,34,43,50,15
06/26/2015,12,23,33,47,50,3
06/23/2015,6,13,38,56,70,2
06/19/2015,4,35,36,52,68,8
06/16/2015,8,19,26,56,67,14
06/12/2015,1,40,42,56,62,2
06/09/2015,6,16,17,25,36,7
06/05/2015,7,22,27,41,49,10
06/02/2015,2,9,11,22,23,12
05/29/2015,20,27,38,49,66,2
05/26/2015,1,39,52,69,72,12
05/22/2015,3,14,15,25,48,8
05/19/2015,10,12,21,29,65,10
05/15/2015,11,17,21,36,74,15
05/12/2015,14,30,33,36,44,2
05/08/2015,9,21,25,66,72,7
05/05/2015,11,21,42,62,71,7
05/01/2015,17,18,61,66,74,3
04/28/2015,22,27,55,58,63,11
04/24/2015,24,25,29,47,67,4
04/21/2015,31,33,35,41,69,11
04/17/2015,15,18,29,41,50,5
04/14/2015,3,7,25,68,71,3
04/10/2015,6,11,32,46,68,9
04/07/2015,5,15,22,26,64,6
04/03/2015,10,36,47,63,74,2
03/31/2015,8,26,41,61,73,11
03/27/2015,17,21,36,58,70,3
03/24/2015,2,23,32,45,55,12
03/20/2015,7,50,54,61,75,7
03/17/2015,11,27,44,45,58,3
03/13/2015,8,22,30,42,45,3
03/10/2015,10,14,19,30,73,14
03/06/2015,30,48,55,68,73,5
03/03/2015,9,11,42,44,50,3
02/27/2015,7,49,53,60,64,4
02/24/2015,15,23,26,45,66,4
02/20/2015,2,6,8,52,66,13
02/17/2015,6,45,50,65,66,1
02/13/2015,4,20,44,65,74,14
02/10/2015,7,42,53,58,71,15
02/06/2015,5,6,17,33,68,13
02/03/2015,11,22,25,58,69,13
01/30/2015,18,31,39,45,55,6
01/27/2015,5,26,27,44,57,7
01/23/2015,14,15,32,68,72,8
01/20/2015,31,35,56,59,63,6
01/16/2015,26,32,44,45,58,11
01/13/2015,12,20,25,50,51,7
01/09/2015,37,49,50,56,57,8
01/06/2015,12,20,27,38,75,4
01/02/2015,13,15,35,62,74,12
12/30/2014,3,7,44,63,67,12
12/26/2014,2,5,10,20,38,14
12/23/2014,4,10,31,56,66,7
12/19/2014,14,18,58,59,68,4
12/16/2014,41,58,68,72,73,1
12/12/2014,2,31,46,58,65,7
12/09/2014,27,45,49,51,52,14
12/05/2014,4,5,11,51,59,5
12/02/2014,13,18,22,49,62,11
11/28/2014,8,26,29,36,47,10
11/25/2014,10,11,29,47,56,4
11/21/2014,3,12,35,37,63,15
11/18/2014,37,39,53,68,75,6
11/14/2014,3,49,61,62,68,15
11/11/2014,23,25,28,30,75,11
11/07/2014,31,35,41,65,66,5
11/04/2014,9,15,24,39,41,1
10/31/2014,11,29,36,58,67,15
10/28/2014,3,50,57,58,60,11
10/24/2014,2,14,21,28,55,3
10/21/2014,5,35,37,41,66,11
10/17/2014,21,31,43,56,60,12
10/14/2014,11,37,46,64,68,15
10/10/2014,2,32,35,50,59,3
10/07/2014,16,29,46,48,55,2
10/03/2014,3,20,34,58,67,6
09/30/2014,3,16,52,54,61,6
09/26/2014,17,26,35,46,62,9
09/23/2014,21,24,25,40,43,12
09/19/2014,16,25,27,29,34,2
09/16/2014,25,45,51,53,73,2
09/12/2014,18,28,33,36,42,7
09/09/2014,25,34,55,70,71,1
09/05/2014,7,12,20,24,59,7
09/02/2014,1,8,54,69,72,1
08/29/2014,3,26,45,58,73,12
08/26/2014,29,31,51,60,64,1
08/22/2014,5,31,34,41,74,3
08/19/2014,22,39,56,67,71,15
08/15/2014,16,19,28,29,68,9
08/12/2014,32,53,60,63,68,6
08/08/2014,9,16,61,70,75,7
08/05/2014,25,28,36,45,53,6
08/01/2014,13,29,34,37,72,6
07/29/2014,2,8,16,43,74,1
07/25/2014,22,29,33,41,68,12
07/22/2014,14,18,22,31,47,15
07/18/2014,5,8,59,65,72,3
07/15/2014,2,4,17,36,40,5
07/11/2014,9,13,30,35,69,10
07/08/2014,14,25,27,48,49,9
07/04/2014,16,33,39,58,69,2
07/01/2014,9,22,38,47,49,15
06/27/2014,15,29,31,46,64,10
06/24/2014,13,17,24,47,65,10
06/20/2014,1,22,25,29,56,3
06/17/2014,10,14,24,47,60,3
06/13/2014,7,38,46,49,56,1
06/10/2014,2,10,24,26,74,7
06/06/2014,12,29,37,49,72,9
06/03/2014,19,28,62,66,74,6
05/30/2014,10,13,42,43,62,2
05/27/2014,1,6,10,46,58,13
05/23/2014,12,14,21,38,70,15
05/20/2014,10,40,63,64,69,7
05/16/2014,13,14,16,50,56,11
05/13/2014,37,46,48,70,74,1
05/09/2014,10,28,39,51,59,14
05/06/2014,18,20,27,48,51,5
05/02/2014,1,18,26,35,40,13
04/29/2014,7,43,59,61,66,3
04/25/2014,3,11,18,20,66,9
